,precision,recall,f1-score,support
mirror,0.019230769,0.117647059,0.033057851,17
they,0.012345679,0.058823529,0.020408163,17
difficult,0,0,0,17
hungry,0,0,0,17
voice,0,0,0,17
egg,0,0,0,17
orange,0,0,0,17
screwdriver,0,0,0,17
key,0,0,0,16
say,0,0,0,16
near,0,0,0,14
road,0,0,0,17
existing,0,0,0,17
okay,0,0,0,16
ataturk,0,0,0,14
bed,0,0,0,17
cry,0,0,0,17
wise,0,0,0,17
sad,0,0,0,17
do,0,0,0,17
wrong,0,0,0,17
promise,0,0,0,17
male,0,0,0,17
hi,0,0,0,17
hurry,0,0,0,16
belt,0,0,0,17
accident,0,0,0,16
crossroads,0,0,0,17
pencil,0,0,0,16
good,0,0,0,17
not_interested,0,0,0,17
medicine,0,0,0,17
drink,0,0,0,17
goodbye,0,0,0,17
always,0,0,0,17
government,0,0,0,16
no,0,0,0,17
doctor,0,0,0,10
full,0,0,0,17
wedding,0,0,0,16
yesterday,0,0,0,17
right,0,0,0,17
see,0,0,0,17
lake,0,0,0,16
past,0,0,0,16
glove,0,0,0,17
married,0,0,0,16
yes,0,0,0,15
child,0,0,0,17
female,0,0,0,17
sugar,0,0,0,11
smell,0,0,0,14
shoe,0,0,0,16
hat,0,0,0,17
same,0,0,0,17
soap,0,0,0,17
hour,0,0,0,17
look,0,0,0,17
police,0,0,0,17
picnic,0,0,0,17
honey,0,0,0,16
potato,0,0,0,17
pastrami,0,0,0,17
cotton,0,0,0,17
allright,0,0,0,17
nope,0,0,0,17
school,0,0,0,17
teacher,0,0,0,17
grandmother,0,0,0,17
where,0,0,0,17
why,0,0,0,17
guest,0,0,0,17
work,0,0,0,16
bad,0,0,0,17
wednesday,0,0,0,17
olympiad,0,0,0,17
